82		AAKFUMPLS0U6N		1037		1		1		1,0		s2_p04_v02_e08		246.2		Paste the image in the new layer====resize it using ctrl + T
83		AWTJ1X4WZQ7H6		1037		0		0		1,0		s2_p04_v02_e08		246.2		Paste the image in the new layer====resize it using ctrl + T
84		A1S88VQY8G8CNC		1037		1		1		0,1		s2_p04_v02_e08		246.2		Paste the image in the new layer====resize it using ctrl + T
85		A1EWWOC8QBYU2C		1038		1		1		1,0		s2_p04_v02_e09		250.815		Resize it by pressing Ctrl + T====press Enter
86		AAKFUMPLS0U6N		1038		1		1		1,0		s2_p04_v02_e09		250.815		Resize it by pressing Ctrl + T====press Enter
87		AWTJ1X4WZQ7H6		1038		0		0		0,1		s2_p04_v02_e09		250.815		Resize it by pressing Ctrl + T====press Enter
88		A1EWWOC8QBYU2C		1039		1		1		1,0		s2_p04_v02_e11		258.005		Change the blend mode to soft light====change blend mode to Soft Light
89		AAKFUMPLS0U6N		1039		0		0		1,0		s2_p04_v02_e11		258.005		Change the blend mode to soft light====change blend mode to Soft Light
90		A3W037AYBB91V4		1039		0		0		0,1		s2_p04_v02_e11		258.005		Change the blend mode to soft light====change blend mode to Soft Light
91		A3ABJN1IL7UCZ8		1040		1		1		0,1		s2_p04_v02_e12		270.805		lower Opacity some to about 69%====Bring the opacity down to about 70%
92		AAKFUMPLS0U6N		1040		1		1		0,1		s2_p04_v02_e12		270.805		lower Opacity some to about 69%====Bring the opacity down to about 70%
93		AWTJ1X4WZQ7H6		1040		1		1		0,1		s2_p04_v02_e12		270.805		lower Opacity some to about 69%====Bring the opacity down to about 70%
94		AAKFUMPLS0U6N		1041		2		2		0,1,2		s2_p04_v02_e14		23.0066666667		go to Pallet click Gradient====Use Gradient tool====now select the gradient and then select reverse option then change the style in radial
95		A1S88VQY8G8CNC		1041		2		2		0,1,2		s2_p04_v02_e14		23.0066666667		go to Pallet click Gradient====Use Gradient tool====now select the gradient and then select reverse option then change the style in radial
96		AWTJ1X4WZQ7H6		1041		2		2		1,2,0		s2_p04_v02_e14		23.0066666667		go to Pallet click Gradient====Use Gradient tool====now select the gradient and then select reverse option then change the style in radial
97		AAKFUMPLS0U6N		1042		0		0		1,0		s2_p04_v02_e17		39.14		in Gradient make sure 2nd color is white====Now change the color
98		AWTJ1X4WZQ7H6		1042		0		0		0,1		s2_p04_v02_e17		39.14		in Gradient make sure 2nd color is white====Now change the color
99		A1S88VQY8G8CNC		1042		0		0		1,0		s2_p04_v02_e17		39.14		in Gradient make sure 2nd color is white====Now change the color
100		AAKFUMPLS0U6N		1043		0		0		1,0		s2_p04_v02_e18		49.955		press OK====Use Soft Light tool
101		A3W037AYBB91V4		1043		0		0		1,0		s2_p04_v02_e18		49.955		press OK====Use Soft Light tool
102		AWTJ1X4WZQ7H6		1043		0		0		1,0		s2_p04_v02_e18		49.955		press OK====Use Soft Light tool
103		AAKFUMPLS0U6N		1044		1		1		0,1		s2_p04_v02_e20		174.595		LInear dodge====change the blending mode to liner dodge
104		AWTJ1X4WZQ7H6		1044		1		1		1,0		s2_p04_v02_e20		174.595		LInear dodge====change the blending mode to liner dodge
105		A1S88VQY8G8CNC		1044		1		1		0,1		s2_p04_v02_e20		174.595		LInear dodge====change the blending mode to liner dodge
106		AAKFUMPLS0U6N		1045		0		0		0,1		s2_p04_v02_e21		226.28		lower Fill to about 60%====Increase the field to 60%
107		AWTJ1X4WZQ7H6		1045		1		1		1,0		s2_p04_v02_e21		226.28		lower Fill to about 60%====Increase the field to 60%
108		A387OFOUJEG6FT		1045		1		1		1,0		s2_p04_v02_e21		226.28		lower Fill to about 60%====Increase the field to 60%
109		AAKFUMPLS0U6N		1046		noop		noop		0,1		s2_p04_v02_e22		210.03		changing the hardness and colors of the layer====and start erasing the image. i think i am going to erase a little more
110		AWTJ1X4WZQ7H6		1046		0		0		0,1		s2_p04_v02_e22		210.03		changing the hardness and colors of the layer====and start erasing the image. i think i am going to erase a little more
111		A1S88VQY8G8CNC		1046		1		1		0,1		s2_p04_v02_e22		210.03		changing the hardness and colors of the layer====and start erasing the image. i think i am going to erase a little more
112		AAKFUMPLS0U6N		1047		0		0		1,0		s2_p04_v02_e23		132.655		CLICK LINEAR====Gradient fill
113		AWTJ1X4WZQ7H6		1047		0		0		1,0		s2_p04_v02_e23		132.655		CLICK LINEAR====Gradient fill
114		A1S88VQY8G8CNC		1047		0		0		0,1		s2_p04_v02_e23		132.655		CLICK LINEAR====Gradient fill
115		A1EWWOC8QBYU2C		1048		1		1		1,0		s2_p04_v02_e26		281.075		Click Cmd + G to group them====select all layers and Group them (cmd + G)
116		AAKFUMPLS0U6N		1048		0		0		0,1		s2_p04_v02_e26		281.075		Click Cmd + G to group them====select all layers and Group them (cmd + G)
117		AWTJ1X4WZQ7H6		1048		1		1		1,0		s2_p04_v02_e26		281.075		Click Cmd + G to group them====select all layers and Group them (cmd + G)
118		ARADLDMHGAF2O		1		@		add more basil if you would like more		2,0,1,3		s2_c01_v01_e01		220.6525		Add  Basil the whole leafs can be used====Add basil====add Basil====you can add more basil
119		A2MV2H042RJ8TY		1		2		2		2,0,1,3		s2_c01_v01_e01		220.6525		Add  Basil the whole leafs can be used====Add basil====add Basil====you can add more basil
120		AWTJ1X4WZQ7H6		1		0		0		0,1,3,2		s2_c01_v01_e01		220.6525		Add  Basil the whole leafs can be used====Add basil====add Basil====you can add more basil
121		A1KB3HD0R4QRVZ		2		2		2		1,0,2		s2_c01_v01_e02		64.5066666667		Thinly slice tomatoes====next you want to cut====Cut tomatoes in thin slices
122		AG27GNED8RGXZ		2		2		2		2,0,1		s2_c01_v01_e02		64.5066666667		Thinly slice tomatoes====next you want to cut====Cut tomatoes in thin slices
123		A2MV2H042RJ8TY		2		2		2		1,2,0		s2_c01_v01_e02		64.5066666667		Thinly slice tomatoes====next you want to cut====Cut tomatoes in thin slices
124		A1M9HUOS9S8A15		3		1		1		2,0,1		s2_c01_v01_e03		110.173333333		once that====Add other ingredients after spreading sauce====ingrediants 
125		A3DLDSXGH336Y0		3		0		0		0,2,1		s2_c01_v01_e03		110.173333333		once that====Add other ingredients after spreading sauce====ingrediants 
126		A111JI6APXR6QV		3		1		1		0,2,1		s2_c01_v01_e03		110.173333333		once that====Add other ingredients after spreading sauce====ingrediants 
127		A2MV2H042RJ8TY		4		2		2		2,0,1		s2_c01_v01_e04		30.5533333333		Crook the dough after you roll it out====Prick the dough with a fork after you roll it out====Prick dough after rolling
128		A2Y5A2VKUNMAR2		4		2		2		1,2,0		s2_c01_v01_e04		30.5533333333		Crook the dough after you roll it out====Prick the dough with a fork after you roll it out====Prick dough after rolling
129		A2TTGOQRWY6GH2		4		noop		noop		0,2,1		s2_c01_v01_e04		30.5533333333		Crook the dough after you roll it out====Prick the dough with a fork after you roll it out====Prick dough after rolling
