58		A3RGYT0JTEHAOK		58		0		0		1,0		s2_c01_v05_e03		you can kneed using a kitchenaid====when you finish with the dough
59		A3GXLU4REAMUFX		59		1		1		1,0		s2_c01_v05_e06		2 lb of all-purpose flour====To prepare 6 pizzas gather two pounds of flour one ounce of fresh yeast two cups water and one teaspoon of salt
60		A37JK3E3WOIGG2		60		1		1		1,0		s2_c01_v05_e11		1 lb of Mozzarella Cheese====For the toppings we need six tablespoons EVOO one pound mozzarella tomato puree some basil leaves (fresh) salt
61		AWG0O1Y2ZKL2E		61		0		0		1,0,2,3		s2_c01_v05_e14		Pinch of salt====To make the dough dump flour on the pizza bench====Start with flour====so when need the flour
62		A224247QAJ1WKY		62		1		1		0,2,1		s2_c01_v05_e15		Pour the flour on the work table====we need to kneed our pizza dough so we need our flour====Knead the Pizza Dough
63		A3N6RZCJCAO23K		63		1		1		0,1		s2_c01_v05_e16		add salt and olive oil to the tomato====Season tomato
64		A13OFTDF85YA1Q		64		1		1		0,1		s2_c01_v05_e17		Add pinch of salt====Season tomato with pinch of salt
65		A16D2GVNFHEB9V		65		1		1		1,0,2		s2_c01_v05_e18		Add olive oil====Olive oil====pizza dough is ready now we can season the tomato with salt and olive oil
66		AWTJ1X4WZQ7H6		66		1		1		0,3,1,2		s2_c01_v05_e19		we start giving shape to our pizza====Flour one of the dough balls====Flour one piece of dough====Flour 1 piece of dough
67		A79CHO3NW2IPO		67		2		2		0,2,1		s2_c01_v05_e20		Flatten dough with hands====Flatten with hands====Flatten the dough with your hands
68		A3GXLU4REAMUFX		68		1		1		0,1,2		s2_c01_v05_e21		should make pizza====Bake pizza at 750 degrees F for 90 seconds====Bake pizza at 750F for 90 seconds
69		A3GXLU4REAMUFX		69		2		2		1,0,2		s2_c01_v05_e22		Add basil on top of cheese====Add little basil====add basil
70		A16D2GVNFHEB9V		70		0		0		1,0		s2_c01_v05_e24		we have the yeast salt and water====place on our bench we have yeast salt and water
71		A1EQCJ3KC4GDQU		71		2		2		1,0,2		s2_c01_v05_e25		it is important not to mix====it====Add yeast salt and water.  Do not mix yeast and salt directly
72		A16D2GVNFHEB9V		72		1		1		1,0		s2_c01_v05_e26		we add the water====we have water
73		A1S3989QO3C1IH		73		1		1		0,1,2		s2_c01_v05_e28		start to kneed====Begin kneading ====wand we start to kneed
74		AVHG2CA7ORMX5		74		1		1		1,0		s2_c01_v05_e29		Knead dough for 15 - 20 minutes====need dough for at least 15-20 minutes
75		A1XUIEY8Y9BH0J		75		2		2		1,0,2		s2_c01_v05_e30		add tomato====Spread tomato sauce over dough====Spread tomato sauce over pizza dough
76		A2JPVJSFVU89GH		76		2		2		0,2,1		s2_c01_v05_e31		Add Mozerella cheese====add cheese====Add shredded mozzarella cheese
77		A27ZZCI4LRCBU7		77		@		Make 6 small balls		1,0,3,2		s2_c01_v05_e32		Make 6 balls from the dough once it has doubled in size====Cut dough in to six sections====Almost 2x volume make 6 small balls====once our dough is almost double its volume we make six balls
78		A1HXI28Y4UD3D2		78		0		0		3,1,2,0		s2_c01_v05_e33		Make sure the balls are in a nice round shape====Each ball about 9 oz====the ball should be nine ounce weight so we make nice round shape====Roll up dough in to smooth ball
79		AO9QKCP96EO06		79		1		1		1,0,2		s2_c01_v05_e34		Cover the dough balls====Cover dough with film====Cover with film
80		A16D2GVNFHEB9V		80		2		2		0,1,2,3		s2_c01_v05_e35		Leave at room temperature for a couple hours====Leave at room temperature for a couple of hours====Leave at room temperature for couple hours====we cover again with thin layer and leave for couple of hours in room temperature
81		A2FVDNEMNOMHRW		81		0		0		1,0		s2_c01_v05_e36		or you can place in a warm place for 45 minutes====Or warm place for 45 minutes
82		A2UXAPATCEML4Q		82		@		Cover the dough		1,2,0		s2_c01_v05_e37		too thick add water too thin add some flour====When dough has nice texture roll in to ball====you place in a batch and make a nice
83		A9SJWZNSSTMT6		83		3		3		1,2,0,3		s2_c01_v05_e38		place on the bench make a ball====we start flouring one dough and we make a flat piece out of the dough====you cover the dough====Cover dough to avoid crusting
84		A3RGYT0JTEHAOK		84		2		2		1,2,0,3		s2_c01_v05_e39		Cover the dough====Cover dough to avoid crusting====Cover the dough and let it rise for 3 to 4 hours at room temperature====cover dough to avoid crusting and let rise
85		A13OFTDF85YA1Q		85		2		2		1,2,0,3		s2_c01_v05_e40		Let it rise at room temp for 3-4 hours====Let rise for 3-4 hours====we cover the dough and let it rise for 3 to 4 hours====You can also put the dough in a warm place and let it rise for one hour
86		A13OFTDF85YA1Q		86		0		0		1,0		s2_c01_v05_e41		Or place in warm place 1 hour====or you can place in a warm place for one hour
87		A3F2PZYXP4ZWUF		87		0		0		1,2,0		s2_c01_v05_e42		finish our pizza with basil and fresh====Add fresh basil and olive oil to finished pizza====Add fresh basil and olive oil
88		A3FPQGM967TJER		88		1		1		1,0,2		s2_c01_v05_e43		regular round shape====Make a 14"" circle with pizza dough====roll pie with hands retain regular round shape of around 14 inches
89		A3GXLU4REAMUFX		89		0		0		1,0		s2_c02_v01_e02		mix well====Stir the cheese in until melted
90		A2K9FAOBT66F3U		90		1		1		1,0		s2_c02_v01_e05		8oz version will have lots of cheese sauce====Fought for our right to put as much maccoroni as we damn well please
91		A2TAUP3B2QB99F		91		1		1		1,0		s2_c02_v01_e06		add a couple drips of worchestershire sauce====Add a couple of drips of worcestershire sauce
92		A3E0LVZRDWXTKB		92		0		0		0,1		s2_c02_v01_e07		add a teaspoon of salt====ADD SOYA SAUCE
